"(288, 0.8305338691810666)","(213, 0.8227592305349846)","(297, 0.8182190917537292)","(376, 0.8170342032687954)","(676, 0.8126022423132871)","(88, 0.8109386292774903)","(121, 0.8083478780477608)","(377, 0.8081902968382421)","(458, 0.8067385484775893)","(602, 0.8059269200713752)"
"(88, 0.9144051844089487)","(44, 0.9011097439006112)","(458, 0.900180626261173)","(602, 0.8992459894230393)","(455, 0.8966747115883806)","(487, 0.8961754162193714)","(547, 0.8853127015940592)","(546, 0.8847844041015778)","(663, 0.8846205567277461)","(494, 0.8839536070646983)"
"(350, 0.8487172020108364)","(44, 0.8341053579346697)","(676, 0.8324181721719982)","(594, 0.8278228811402897)","(658, 0.8157935973102981)","(58, 0.8137744687134862)","(413, 0.8124874651130736)","(192, 0.8117618629438006)","(301, 0.8106557429578143)","(550, 0.8095309811735999)"
"(296, 0.9089168457010159)","(715, 0.9080819978746808)","(663, 0.9023270634768054)","(594, 0.8976848554665294)","(265, 0.8961909547168383)","(602, 0.8957672521831263)","(547, 0.8915700198677685)","(213, 0.8901693713022545)","(325, 0.8891281722282662)","(36, 0.8889166411062192)"
"(70, 0.825223274624723)","(242, 0.8060187554141786)","(430, 0.795322598868784)","(583, 0.7927953692259847)","(288, 0.7924428615202155)","(153, 0.7914700335885348)","(260, 0.7887243273800284)","(458, 0.7856288054463122)","(203, 0.784985881502664)","(616, 0.7843260798852125)"
"(242, 0.7506084573279832)","(430, 0.7491607082644318)","(298, 0.7439799506489263)","(153, 0.7347970878971162)","(90, 0.7344840837409046)","(439, 0.7334134983742056)","(583, 0.7315153191807129)","(566, 0.7296786402271929)","(288, 0.7259755263167612)","(580, 0.7251993560602199)"
"(715, 0.9091982869100246)","(602, 0.8981885023273106)","(585, 0.8759879714200827)","(266, 0.8736915791825061)","(546, 0.8693518610330011)","(296, 0.8670360963378079)","(538, 0.8610465469494193)","(88, 0.859857622102191)","(320, 0.8575548303308554)","(663, 0.8560863481191108)"
"(298, 0.8736698949731754)","(129, 0.871401506493864)","(153, 0.8239123503474854)","(49, 0.8180148332448127)","(430, 0.817333326351924)","(616, 0.814084380055364)","(128, 0.8089718636529202)","(193, 0.8059968352508617)","(579, 0.8049983836991637)","(137, 0.803325015416265)"
"(128, 0.8589550771955367)","(430, 0.8478439422903691)","(458, 0.8470243893637273)","(288, 0.8428682859807736)","(376, 0.8420577506073377)","(88, 0.8408779096142256)","(687, 0.8400968981058936)","(682, 0.8351994406500366)","(455, 0.8340640228278582)","(616, 0.8295190524454807)"
"(458, 0.9319681294185047)","(288, 0.9182747643297215)","(54, 0.9126731146351647)","(583, 0.8819078942828058)","(580, 0.8813808813924704)","(503, 0.8772599570639568)","(494, 0.8732558411345825)","(376, 0.8728678104286152)","(662, 0.8728283600205313)","(552, 0.8715054330266864)"
"(663, 0.8754583143480763)","(44, 0.8702923239968996)","(14, 0.8606569801163741)","(350, 0.8603417520313634)","(88, 0.8599440804303107)","(676, 0.8543978629187836)","(377, 0.8512664180045766)","(594, 0.8508393006733692)","(222, 0.8453932034534968)","(602, 0.8383596728023957)"
"(334, 0.8700478390795978)","(499, 0.8579700801787602)","(335, 0.8267861778631663)","(458, 0.819747729742855)","(676, 0.8191429952465017)","(308, 0.816076829424849)","(377, 0.8115585426690415)","(580, 0.8104638386375169)","(687, 0.8100971679269857)","(288, 0.8092054270835876)"
"(427, 0.8714936284609485)","(676, 0.8639697395408832)","(494, 0.8570160008152096)","(323, 0.8479835992989284)","(569, 0.8445931660440167)","(582, 0.8356814595055126)","(580, 0.8330097201385291)","(404, 0.8320941094419814)","(552, 0.8315820934132656)","(715, 0.8314420518495849)"
"(663, 0.8542563279519924)","(66, 0.840087955439093)","(138, 0.8337212627901487)","(412, 0.8131093822898806)","(721, 0.8092377931185706)","(414, 0.7998136702770531)","(44, 0.7954697547273323)","(115, 0.7900159928966212)","(602, 0.7887992427595005)","(546, 0.7873236940081446)"
"(518, 0.7129770357402214)","(576, 0.6566856892946169)","(158, 0.630263140305505)","(707, 0.6254030587357942)","(449, 0.6245406189354319)","(147, 0.6191179381293181)","(43, 0.6146201853281837)","(318, 0.6092818878931494)","(412, 0.6092024317789875)","(683, 0.6068753012583882)"
"(458, 0.8102270028077456)","(288, 0.8055463175505793)","(621, 0.8011600007724564)","(304, 0.7998293647074224)","(672, 0.7990204173892816)","(265, 0.7959331076122975)","(662, 0.7942303075235815)","(21, 0.791899127381368)","(564, 0.7906315193608913)","(451, 0.789332559720702)"
